file,nodes_expanded,reached_goal,best_path_len,start_yx,goal_yx,end_x,end_y,runtime_sec,history_mode,euclid_start_goal,goal_radius_min,goal_radius_max
map_data_71.npz,6,1,17,"(26, 15)","(22, 15)",14.94184684753418,22.83918190002441,0.2512673579985858,full,3.0,0.0,5.0
map_data_71.npz,2,1,9,"(26, 15)","(24, 16)",15.70431900024414,24.597492218017575,0.0569267119972209,none,3.605551275463989,0.0,5.0
map_data_72.npz,1,0,1,"(9, 1)","(4, 1)",1.0,9.0,29.7239075840007,none,3.605551275463989,0.0,5.0
map_data_72.npz,3,1,17,"(9, 1)","(8, 4)",3.852960586547852,8.017051696777344,0.09761498700027,full,3.0,0.0,5.0
map_data_73.npz,1,0,1,"(23, 2)","(18, 2)",2.0,23.0,25.13371704599558,full,3.0,0.0,5.0
map_data_73.npz,1,0,1,"(23, 2)","(25, 5)",2.0,23.0,28.229673103000096,none,3.605551275463989,0.0,5.0
map_data_74.npz,30,0,9,"(11, 13)","(12, 17)",14.561755180358888,11.380513191223145,29.001820894001867,none,3.605551275463989,0.0,5.0
map_data_74.npz,1,0,1,"(11, 13)","(11, 11)",13.0,11.0,24.92908205799904,full,3.0,0.0,5.0
map_data_75.npz,1,0,1,"(14, 5)","(16, 8)",5.0,14.0,28.723624753001783,none,3.605551275463989,0.0,5.0
map_data_75.npz,2,1,9,"(14, 5)","(12, 5)",5.021942615509033,12.421903610229492,0.0494415720022516,full,3.0,0.0,5.0
map_data_76.npz,1,0,1,"(4, 1)","(5, 4)",1.0,4.0,24.583940228003485,full,3.0,0.0,5.0
map_data_76.npz,2,1,9,"(4, 1)","(1, 1)",0.9888746738433838,2.472372055053711,0.0580035809998662,none,3.605551275463989,0.0,5.0
map_data_77.npz,31,0,9,"(9, 7)","(13, 6)",6.5950798988342285,10.58067798614502,24.732863116998487,none,3.605551275463989,0.0,5.0
map_data_77.npz,1,0,1,"(9, 7)","(5, 6)",7.0,9.0,24.854175503001898,full,3.0,0.0,5.0
map_data_78.npz,1,0,1,"(14, 3)","(15, 5)",3.0,14.0,29.693397483999437,none,3.605551275463989,0.0,5.0
map_data_78.npz,1,0,1,"(14, 3)","(13, 7)",3.0,14.0,25.018777184996,full,3.0,0.0,5.0
map_data_79.npz,5,1,17,"(17, 5)","(15, 9)",7.791430473327637,15.567651748657228,0.2272244000014325,none,3.605551275463989,0.0,5.0
